Autonomous Communities and Cities;Demographic Concepts;Period;Total
Total;Nacimiento;2023;320,656
Total;Natural growth;2023;-115,468
Total;Late foetal deaths;2023;876
01 Andalucia;Nacimiento;2023;61,397
01 Andalucia;Natural growth;2023;-13,299
01 Andalucia;Late foetal deaths;2023;153
02 Aragon;Nacimiento;2023;8,669
02 Aragon;Natural growth;2023;-5,188
02 Aragon;Late foetal deaths;2023;27
03 Asturias, Principado de;Nacimiento;2023;4,545
03 Asturias, Principado de;Natural growth;2023;-8,467
03 Asturias, Principado de;Late foetal deaths;2023;29
04 Balears, Illes;Nacimiento;2023;8,738
04 Balears, Illes;Natural growth;2023;99
04 Balears, Illes;Late foetal deaths;2023;37
05 Canarias;Nacimiento;2023;11,998
05 Canarias;Natural growth;2023;-5,832
05 Canarias;Late foetal deaths;2023;37
06 Cantabria;Nacimiento;2023;2,976
06 Cantabria;Natural growth;2023;-3,056
06 Cantabria;Late foetal deaths;2023;2
07 Castilla y Leon;Nacimiento;2023;12,496
07 Castilla y Leon;Natural growth;2023;-15,606
07 Castilla y Leon;Late foetal deaths;2023;29
08 Castilla - La Mancha;Nacimiento;2023;14,075
08 Castilla - La Mancha;Natural growth;2023;-5,372
08 Castilla - La Mancha;Late foetal deaths;2023;30
09 Catalunna;Nacimiento;2023;54,174
09 Catalunna;Natural growth;2023;-13,488
09 Catalunna;Late foetal deaths;2023;131
10 Comunitat Valenciana;Nacimiento;2023;35,378
10 Comunitat Valenciana;Natural growth;2023;-11,305
10 Comunitat Valenciana;Late foetal deaths;2023;121
11 Extremadura;Nacimiento;2023;6,81
11 Extremadura;Natural growth;2023;-4,551
11 Extremadura;Late foetal deaths;2023;26
12 Galicia;Nacimiento;2023;14,004
12 Galicia;Natural growth;2023;-18,778
12 Galicia;Late foetal deaths;2023;22
13 Madrid, Comunidad de;Nacimiento;2023;50,299
13 Madrid, Comunidad de;Natural growth;2023;1,653
13 Madrid, Comunidad de;Late foetal deaths;2023;94
14 Murcia, Region de;Nacimiento;2023;12,86
14 Murcia, Region de;Natural growth;2023;660
14 Murcia, Region de;Late foetal deaths;2023;41
15 Navarra, Comunidad Foral de;Nacimiento;2023;4,496
15 Navarra, Comunidad Foral de;Natural growth;2023;-1,351
15 Navarra, Comunidad Foral de;Late foetal deaths;2023;19
16 Pais Vasco;Nacimiento;2023;13,462
16 Pais Vasco;Natural growth;2023;-8,866
16 Pais Vasco;Late foetal deaths;2023;54
17 Rioja, La;Nacimiento;2023;1,999
17 Rioja, La;Natural growth;2023;-1,237
17 Rioja, La;Late foetal deaths;2023;9
18 Ceuta;Nacimiento;2023;683
18 Ceuta;Natural growth;2023;123
18 Ceuta;Late foetal deaths;2023;3
19 Melilla;Nacimiento;2023;771
19 Melilla;Natural growth;2023;271
19 Melilla;Late foetal deaths;2023;6
Foreign;Nacimiento;2023;826
Foreign;Natural growth;2023;-1,878
Foreign;Late foetal deaths;2023;6
